long_format_name;code ;creation ;georeferencing ;max_file_size;compiled_by
default;;;;;
Arc/Info ASCII Grid ;AAIGrid ;Yes ;Yes ;2GB ;Yes
ADRG/ARC Digitilized Raster Graphics (.gen/.thf) ;ADRG ;Yes ;Yes ;-- ;Yes
Arc/Info Binary Grid (.adf) ;AIG ;No ;Yes ;-- ;Yes
AIRSAR Polarimetric ;AIRSAR ;No ;No ;-- ;Yes
Magellan BLX Topo (.blx, .xlb) ;BLX ;Yes ;Yes ;-- ;Yes
Bathymetry Attributed Grid (.bag) ;BAG ;No ;Yes ;2GiB ;No, needs libhdf5
Microsoft Windows Device Independent Bitmap (.bmp) ;BMP ;Yes ;Yes ;4GiB ;Yes
BSB Nautical Chart Format (.kap) ;BSB ;No ;Yes ;-- ;Yes, can be disabled
VTP Binary Terrain Format (.bt) ;BT ;Yes ;Yes ;-- ;Yes
CEOS (Spot for instance) ;CEOS ;No ;No ;-- ;Yes
DRDC COASP SAR Processor Raster ;COASP ;No ;No ;-- ;Yes
TerraSAR-X Complex SAR Data Product ;COSAR ;No ;No ;-- ;Yes
Convair PolGASP data ;CPG ;No ;Yes ;-- ;Yes
Spot DIMAP (metadata.dim) ;DIMAP ;No ;Yes ;-- ;Yes
ELAS DIPEx ;DIPEx ;No ;Yes ;-- ;Yes
DODS / OPeNDAP ;DODS ;No ;Yes ;-- ;No, needs libdap
First Generation USGS DOQ (.doq) ;DOQ1 ;No ;Yes ;-- ;Yes
New Labelled USGS DOQ (.doq) ;DOQ2 ;No ;Yes ;-- ;Yes
Military Elevation Data (.dt0, .dt1, .dt2) ;DTED ;Yes ;Yes ;-- ;Yes
ERMapper Compressed Wavelets (.ecw) ;ECW ;Yes ;Yes ;  ;No, needs ECW SDK
ESRI .hdr Labelled ;EHdr ;Yes ;Yes ;No limits ;Yes
Erdas Imagine Raw ;EIR ;No ;Yes ;-- ;Yes
NASA ELAS ;ELAS ;Yes ;Yes ;-- ;Yes
ENVI .hdr Labelled Raster ;ENVI ;Yes ;Yes ;No limits ;Yes
Epsilon - Wavelet compressed images ;EPSILON ;Yes ;No ;-- ;No, needs EPSILON library
ERMapper (.ers) ;ERS ;Yes ;Yes ;;Yes
Envisat Image Product (.n1) ;ESAT ;No ;No ;-- ;Yes
EOSAT FAST Format ;FAST ;No ;Yes ;-- ;Yes
FIT ;FIT ;Yes ;No ;-- ;Yes
